[8, 10, 8, 30, 28, 34]
[2, 8, 8, 24, 47, 44]
[3, 13, 3, 21, 43, 73]
[4, 14, 7, 14, 54, 83]
[0, 10, 3, 22, 40, 67]
[6, 10, 6, 26, 41, 76]
[0, 10, 6, 26, 45, 88]
[2, 14, 8, 22, 52, 110]
[5, 5, 5, 21, 65, 65]
[3, 7, 3, 15, 63, 79]
[2, 10, 8, 22, 52, 82]
[1, 7, 7, 11, 41, 55]
[3, 5, 3, 17, 53, 83]
[3, 13, 3, 29, 23, 37]
[1, 7, 1, 31, 41, 31]
[3, 7, 3, 27, 3, 43]
[4, 8, 4, 24, 59, 80]
[5, 11, 8, 23, 55, 56]
[2, 16, 5, 24, 52, 61]
[5, 9, 5, 21, 25, 93]
[6, 6, 6, 30, 56, 54]
[6, 10, 6, 30, 66, 10]
[2, 12, 8, 16, 27, 60]
[5, 15, 5, 19, 55, 63]
[6, 16, 6, 20, 36, 52]
[5, 9, 5, 17, 75, 27]
[3, 13, 3, 17, 23, 55]
[6, 12, 6, 28, 36, 72]
[3, 7, 6, 15, 53, 52]
[3, 11, 6, 31, 33, 56]
[2, 12, 5, 24, 32, 45]
[1, 7, 1, 19, 41, 67]
[6, 14, 6, 26, 31, 68]
[4, 8, 4, 20, 64, 68]
[0, 14, 6, 22, 50, 62]
[3, 11, 3, 15, 23, 47]
[3, 11, 6, 15, 63, 92]
[3, 7, 6, 11, 33, 16]
[3, 11, 3, 23, 33, 59]
[5, 11, 5, 27, 75, 35]
[6, 8, 6, 12, 46, 68]
[2, 12, 2, 12, 32, 72]
[4, 12, 4, 28, 34, 72]
[4, 8, 4, 16, 9, 56]
[2, 12, 8, 20, 42, 84]
[4, 8, 7, 24, 14, 77]
[6, 6, 6, 22, 46, 66]
[3, 13, 3, 17, 53, 91]
[8, 14, 8, 14, 28, 38]
[5, 9, 5, 17, 35, 75]
[5, 11, 8, 27, 55, 56]
[5, 7, 8, 11, 15, 88]
[4, 6, 4, 22, 64, 90]
[5, 11, 8, 15, 55, 56]
[7, 9, 7, 29, 47, 33]
[7, 13, 7, 13, 47, 85]
[2, 10, 2, 30, 22, 10]
[2, 8, 5, 16, 52, 77]
[0, 8, 6, 12, 20, 80]
[2, 12, 2, 20, 52, 96]
[4, 10, 4, 14, 24, 58]
[5, 11, 5, 27, 35, 83]
[4, 6, 4, 22, 24, 90]
[4, 12, 7, 16, 34, 69]
[5, 11, 5, 19, 65, 47]
[3, 11, 3, 31, 33, 59]
[4, 12, 4, 28, 64, 72]
[4, 16, 7, 32, 24, 37]
[4, 4, 4, 12, 34, 64]
[2, 6, 5, 14, 52, 51]
[2, 6, 8, 22, 62, 54]
[3, 9, 3, 29, 53, 93]
[4, 12, 4, 12, 44, 72]
[2, 6, 2, 30, 32, 54]
[1, 7, 4, 19, 41, 52]
[4, 10, 7, 14, 24, 55]
[7, 15, 7, 19, 17, 87]
[3, 7, 3, 11, 43, 43]
[5, 7, 5, 15, 55, 43]
[4, 10, 4, 30, 64, 82]
[5, 7, 8, 15, 55, 52]
[3, 7, 6, 19, 53, 64]
[2, 10, 8, 14, 42, 70]
[5, 11, 5, 19, 25, 95]
[2, 12, 2, 28, 52, 72]
[4, 10, 7, 30, 24, 79]
[6, 10, 6, 30, 46, 58]
[0, 10, 6, 18, 25, 76]
[2, 8, 2, 16, 47, 80]
[2, 8, 8, 20, 42, 32]
[5, 11, 5, 11, 55, 59]
[5, 5, 5, 13, 45, 53]
[0, 10, 6, 30, 50, 70]
[6, 12, 6, 16, 51, 72]
[7, 11, 7, 19, 37, 107]
[1, 11, 1, 15, 41, 95]
[2, 10, 2, 26, 37, 52]
[1, 13, 1, 29, 61, 37]
[1, 9, 7, 21, 51, 105]
[2, 14, 2, 22, 32, 26]
[3, 7, 6, 15, 33, 28]
[3, 15, 6, 23, 53, 84]
[5, 7, 5, 19, 65, 43]
[1, 9, 7, 17, 31, 51]
[2, 14, 2, 18, 37, 56]
[2, 10, 2, 18, 37, 64]
[4, 8, 7, 16, 24, 53]
[2, 14, 2, 14, 42, 86]
[3, 15, 6, 27, 43, 60]
[5, 15, 8, 15, 55, 60]
[2, 10, 2, 22, 32, 46]
[3, 13, 3, 17, 33, 67]
[8, 12, 8, 24, 23, 48]
[4, 10, 7, 14, 84, 55]
[2, 12, 2, 16, 47, 96]
[5, 5, 5, 17, 55, 59]
[5, 7, 5, 11, 15, 79]
[1, 7, 4, 19, 51, 88]
[5, 7, 5, 19, 25, 91]
[7, 13, 7, 25, 27, 67]
[2, 10, 8, 18, 47, 76]
[1, 11, 4, 19, 41, 92]
[4, 8, 4, 16, 39, 56]
[4, 16, 4, 24, 39, 64]
[4, 8, 4, 12, 4, 44]
[4, 14, 7, 30, 24, 59]
[4, 12, 4, 20, 34, 72]
[4, 12, 7, 32, 24, 69]
[4, 16, 4, 28, 34, 52]
[5, 11, 8, 19, 45, 68]
[5, 7, 8, 27, 45, 100]
[2, 14, 5, 22, 52, 95]
[2, 10, 2, 30, 42, 58]
[1, 7, 7, 19, 51, 67]
[4, 10, 4, 14, 74, 58]
[1, 11, 4, 19, 31, 56]
[1, 11, 7, 27, 41, 59]
